batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
32.0,5e-05,0.0001,0.001,0.001,0.001,0.001,0.01,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.0,3.0,78.45,79.26,84.12,84.21,54.39,53.1,54.38,76.24,54.38
32.0,5e-05,0.001,0.0001,0.0001,0.001,0.001,0.001,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.1,0.0,3.0,83.41,83.58,85.8,85.6,55.51,53.68,53.07,77.03,53.09
32.0,5e-05,0.001,0.001,0.001,0.01,0.001,0.001,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.0,0.1,3.0,79.52,80.24,84.45,84.52,55.05,53.53,54.1,76.63,54.1
16.0,5e-05,0.001,0.001,0.001,0.001,0.01,0.01,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.1,0.0,3.0,77.46,78.4,83.63,83.78,53.32,51.94,55.76,74.04,55.71
16.0,5e-05,0.005,0.001,0.001,0.001,0.01,0.0,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.1,3.0,78.39,79.24,84.31,84.43,54.0,52.8,54.92,75.26,54.86
32.0,5e-05,0.0001,0.005,0.001,0.001,0.001,0.01,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.0,0.0,3.0,81.07,81.62,85.11,85.12,56.28,54.6,53.01,76.86,53.02
32.0,5e-05,0.005,0.005,0.001,0.001,0.01,0.0,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.1,0.1,0.0,3.0,83.26,83.46,85.14,84.99,55.55,54.11,53.71,76.52,53.73
32.0,5e-05,0.0001,0.001,0.001,0.01,0.01,0.0,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.0,3.0,81.39,81.54,82.94,82.68,54.58,53.02,56.52,72.32,56.55
32.0,5e-05,0.005,0.0001,0.0001,0.001,0.001,0.001,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.1,3.0,82.68,82.97,85.69,85.56,56.13,54.3,53.59,76.72,53.55
32.0,5e-05,0.005,0.001,0.001,0.01,0.001,0.01,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.0,0.0,3.0,81.2,81.76,84.56,84.61,55.16,53.55,54.25,75.82,54.25
