batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
32.0,5e-05,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.0,3.0,82.12,82.56,86.08,86.02,54.99,53.19,54.01,76.18,53.99
32.0,5e-05,0.0001,0.005,0.001,0.01,0.01,0.01,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.1,3.0,82.21,82.54,84.37,84.29,52.61,51.08,56.65,73.96,56.63
32.0,5e-05,0.005,0.005,0.001,0.01,0.01,0.001,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.0,0.1,3.0,83.45,83.45,84.67,84.35,54.41,52.74,55.77,74.61,55.77
16.0,5e-05,0.0001,0.0001,0.001,0.001,0.001,0.0,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.1,0.1,3.0,75.77,76.82,81.78,82.01,53.23,51.62,58.05,71.6,58.07
16.0,5e-05,0.0001,0.0001,0.0001,0.01,0.01,0.01,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.0,0.1,3.0,76.58,77.53,82.33,82.48,52.39,51.3,58.06,72.16,58.01
16.0,5e-05,0.005,0.005,0.001,0.001,0.001,0.001,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.0,0.0,3.0,82.1,82.48,85.47,85.38,56.04,54.35,52.54,77.19,52.45
16.0,5e-05,0.001,0.001,0.0001,0.01,0.01,0.0,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.0,0.1,3.0,81.37,80.08,79.31,77.68,49.62,48.87,61.65,69.89,61.5
32.0,5e-05,0.0001,0.0001,0.001,0.01,0.001,0.001,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,3.0,80.3,80.86,84.65,84.62,53.21,51.88,56.23,73.62,56.24
16.0,5e-05,0.005,0.005,0.0001,0.01,0.01,0.001,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.1,0.0,3.0,83.17,83.23,84.15,83.89,53.32,51.86,56.38,73.07,56.36
32.0,5e-05,0.0001,0.005,0.0001,0.01,0.01,0.001,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.0,0.1,3.0,81.03,81.58,85.53,85.51,55.53,54.0,54.04,75.86,54.01
