batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss
16.0,5e-05,0.005,0.001,0.0001,0.01,0.001,0.0,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.0,0.0,3.0,78.34,63.46,42.45,78.18,42.6,56.61,42.63
16.0,5e-05,0.001,0.005,0.001,0.01,0.01,0.0,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.0,0.1,3.0,77.9,60.61,38.29,77.92,42.88,57.78,42.84
16.0,5e-05,0.0001,0.0001,0.001,0.001,0.001,0.001,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.1,0.1,3.0,76.37,63.24,39.61,76.74,45.98,52.54,46.33
32.0,5e-05,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.0,0.0,3.0,76.37,62.58,42.23,76.59,42.82,54.5,41.72
16.0,5e-05,0.005,0.005,0.0001,0.001,0.001,0.0,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,3.0,75.49,62.14,41.58,76.15,42.86,57.49,43.75
16.0,5e-05,0.0001,0.005,0.0001,0.01,0.01,0.01,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.0,0.0,3.0,79.43,63.89,44.86,79.3,42.63,57.42,42.9
32.0,5e-05,0.0001,0.005,0.001,0.001,0.01,0.0,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.1,0.1,3.0,75.49,63.02,42.45,75.94,45.05,54.43,45.0
16.0,5e-05,0.001,0.001,0.0001,0.001,0.001,0.0,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.1,0.1,3.0,76.15,64.77,40.7,76.17,44.99,52.32,44.69
16.0,5e-05,0.001,0.001,0.0001,0.01,0.001,0.0,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.0,0.1,3.0,79.65,65.43,42.23,79.31,44.13,54.55,45.06
16.0,5e-05,0.005,0.0001,0.0001,0.01,0.001,0.01,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.1,0.0,3.0,78.77,63.68,41.36,78.57,43.69,56.09,43.7
