batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
32.0,5e-05,0.001,0.005,0.001,0.001,0.001,0.001,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.1,0.0,3.0,82.36,82.36,83.99,84.05,52.04,45.48,72.57,79.47,72.69
32.0,5e-05,0.005,0.005,0.001,0.01,0.001,0.01,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.1,0.1,3.0,81.63,81.57,83.69,83.69,52.48,46.5,72.62,79.08,74.38
16.0,5e-05,0.001,0.005,0.001,0.001,0.001,0.01,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.0,3.0,83.53,83.49,84.76,84.76,52.04,46.94,71.85,79.47,71.79
16.0,5e-05,0.0001,0.0001,0.001,0.01,0.001,0.01,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.1,0.1,3.0,82.65,82.66,83.99,84.04,55.39,47.67,70.66,80.06,70.66
16.0,5e-05,0.0001,0.0001,0.0001,0.01,0.01,0.001,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.0,0.0,3.0,81.78,81.67,83.69,83.65,50.87,43.73,73.02,79.17,73.01
16.0,5e-05,0.0001,0.001,0.001,0.001,0.01,0.001,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.0,3.0,82.22,82.08,84.3,84.23,50.73,44.61,73.19,79.3,73.19
32.0,5e-05,0.0001,0.005,0.0001,0.01,0.001,0.0,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.1,3.0,79.59,79.64,80.49,80.6,49.56,43.44,78.01,77.72,78.48
16.0,5e-05,0.005,0.005,0.001,0.001,0.01,0.01,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.0,3.0,81.49,81.5,82.93,82.99,51.02,44.17,74.47,78.32,74.49
16.0,5e-05,0.005,0.001,0.001,0.01,0.001,0.01,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.0,0.1,3.0,80.47,80.48,81.25,81.31,48.54,42.86,77.6,77.44,77.59
16.0,5e-05,0.005,0.0001,0.0001,0.001,0.001,0.001,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.0,0.0,3.0,82.22,82.23,83.54,83.6,54.37,46.65,72.8,78.97,72.74
32.0,5e-05,0.005,0.005,0.0001,0.001,0.001,0.01,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.0,0.1,3.0,82.94,82.97,84.3,84.37,52.77,45.04,71.61,80.04,71.7
32.0,5e-05,0.0001,0.001,0.0001,0.001,0.01,0.001,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.1,0.1,3.0,80.47,80.45,82.01,82.05,50.44,44.02,74.0,79.23,73.59
32.0,5e-05,0.005,0.005,0.001,0.001,0.01,0.01,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.0,0.0,3.0,80.9,80.91,82.16,82.23,51.75,45.19,75.26,78.0,75.83
32.0,5e-05,0.001,0.001,0.0001,0.001,0.01,0.0,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.1,3.0,81.05,81.02,82.77,82.8,51.17,43.88,73.61,78.89,73.15
32.0,5e-05,0.0001,0.001,0.001,0.01,0.01,0.0,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.1,0.0,3.0,81.78,81.73,83.23,83.24,50.58,43.15,74.63,77.07,74.59
32.0,5e-05,0.001,0.0001,0.001,0.01,0.01,0.001,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.1,0.1,3.0,80.47,80.38,82.62,82.61,52.92,45.63,72.83,78.74,73.55
16.0,5e-05,0.0001,0.001,0.001,0.01,0.001,0.01,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.1,3.0,79.88,79.94,80.64,80.76,49.56,43.59,79.01,76.01,78.98
16.0,5e-05,0.005,0.0001,0.001,0.001,0.001,0.01,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.0,0.1,3.0,82.94,82.92,84.76,84.78,50.87,45.34,73.17,79.28,73.21
32.0,5e-05,0.001,0.001,0.001,0.01,0.001,0.0,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.0,0.0,3.0,81.49,81.5,82.62,82.68,51.17,43.88,73.62,78.71,73.89
32.0,5e-05,0.005,0.0001,0.0001,0.001,0.001,0.001,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.1,0.0,3.0,82.22,82.2,83.84,83.88,49.85,43.29,74.64,78.14,74.7
16.0,5e-05,0.005,0.005,0.0001,0.001,0.001,0.0,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.1,0.1,3.0,81.05,81.01,83.08,83.11,52.92,45.34,74.56,77.29,74.53
16.0,5e-05,0.001,0.0001,0.0001,0.001,0.01,0.0,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.1,3.0,83.24,83.24,84.76,84.81,50.87,44.61,73.69,79.51,73.69
16.0,5e-05,0.001,0.005,0.0001,0.001,0.01,0.01,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.1,3.0,80.61,80.62,82.32,82.38,48.83,42.42,77.67,77.14,77.78
16.0,5e-05,0.0001,0.005,0.001,0.01,0.01,0.001,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.0,3.0,81.92,81.81,83.99,83.96,50.15,44.31,73.73,77.84,73.72
16.0,5e-05,0.0001,0.001,0.001,0.001,0.01,0.0,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.1,0.1,3.0,82.36,82.4,83.08,83.17,50.15,43.29,76.16,77.88,76.2
16.0,5e-05,0.0001,0.0001,0.0001,0.01,0.01,0.001,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.1,0.0,3.0,81.2,81.12,83.54,83.54,50.44,44.02,73.63,78.34,73.6
32.0,5e-05,0.001,0.005,0.0001,0.01,0.001,0.001,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.1,0.0,0.0,3.0,80.17,80.16,81.86,81.91,50.0,43.15,73.79,78.77,74.04
32.0,5e-05,0.005,0.0001,0.0001,0.01,0.01,0.01,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.1,3.0,82.8,82.64,85.37,85.3,53.5,45.48,72.39,78.53,72.49
32.0,5e-05,0.005,0.005,0.001,0.01,0.001,0.0,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.1,0.1,3.0,80.76,80.76,82.16,82.22,50.15,43.59,74.08,78.19,74.11
16.0,5e-05,0.0001,0.001,0.0001,0.01,0.01,0.0,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.1,0.0,0.1,3.0,82.22,82.18,84.3,84.32,52.19,44.61,73.98,78.56,74.03
32.0,5e-05,0.001,0.001,0.0001,0.001,0.001,0.001,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.1,0.0,0.0,3.0,82.94,82.89,84.76,84.76,51.75,44.75,72.11,79.39,72.75
16.0,5e-05,0.005,0.0001,0.001,0.001,0.001,0.0,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.1,0.0,3.0,81.34,81.28,82.77,82.77,51.46,44.31,74.65,78.76,74.66
32.0,5e-05,0.005,0.005,0.0001,0.001,0.01,0.01,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,3.0,82.51,82.42,84.76,84.74,51.75,44.31,73.5,78.22,73.46
32.0,5e-05,0.0001,0.0001,0.0001,0.001,0.001,0.01,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.1,0.0,3.0,82.65,82.59,84.3,84.29,47.96,42.42,74.07,78.11,74.61
32.0,5e-05,0.001,0.001,0.0001,0.01,0.001,0.0,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.1,0.0,3.0,80.76,80.74,82.47,82.51,50.0,44.02,73.27,78.95,73.37
16.0,5e-05,0.005,0.0001,0.0001,0.01,0.001,0.0,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.1,0.0,3.0,82.07,82.01,83.54,83.53,49.85,43.29,76.71,77.34,76.72
16.0,5e-05,0.005,0.001,0.0001,0.01,0.01,0.01,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.0,0.1,3.0,81.34,81.33,82.77,82.82,51.31,45.19,74.11,79.32,74.12
32.0,5e-05,0.001,0.005,0.0001,0.01,0.01,0.001,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.1,0.1,3.0,81.63,81.63,83.38,83.44,50.73,44.46,74.85,78.39,75.67
32.0,5e-05,0.0001,0.001,0.0001,0.01,0.01,0.001,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.1,0.1,3.0,81.63,81.6,83.69,83.72,50.87,43.73,72.26,79.67,72.25
32.0,5e-05,0.001,0.0001,0.001,0.001,0.01,0.0,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,3.0,82.51,82.45,84.6,84.61,51.6,44.9,73.52,78.55,73.28
