batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss
16.0,5e-05,0.001,0.005,0.0001,0.01,0.01,0.001,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.1,3.0,76.59,63.02,41.58,77.15,43.54,54.88,43.71
32.0,5e-05,0.005,0.005,0.001,0.001,0.001,0.01,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.0,3.0,77.68,65.21,40.48,78.03,42.91,57.78,43.23
32.0,5e-05,0.001,0.001,0.0001,0.001,0.001,0.0,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.1,0.1,3.0,79.21,65.86,41.14,79.23,44.51,55.44,44.15
32.0,5e-05,0.001,0.005,0.001,0.01,0.01,0.001,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.1,3.0,76.81,64.11,42.01,77.23,42.03,60.27,42.41
32.0,5e-05,0.005,0.0001,0.001,0.01,0.001,0.001,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.1,0.0,3.0,77.9,66.08,41.58,77.74,42.88,58.7,41.82
32.0,5e-05,0.005,0.005,0.001,0.001,0.01,0.01,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.1,0.1,3.0,75.05,65.43,42.67,75.33,42.95,56.16,43.52
16.0,5e-05,0.005,0.0001,0.001,0.001,0.01,0.001,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,3.0,78.99,63.46,41.58,79.03,40.95,59.38,41.63
16.0,5e-05,0.0001,0.0001,0.001,0.01,0.01,0.001,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.0,0.0,3.0,75.93,63.02,40.48,76.37,42.17,58.64,42.03
32.0,5e-05,0.0001,0.005,0.0001,0.01,0.01,0.01,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.1,0.1,3.0,77.9,63.89,41.79,77.83,43.2,57.07,42.62
16.0,5e-05,0.0001,0.0001,0.001,0.001,0.001,0.0,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.1,0.1,3.0,77.68,65.21,44.86,77.33,43.68,54.62,44.07
16.0,5e-05,0.005,0.005,0.0001,0.01,0.001,0.0,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.0,0.0,3.0,76.81,59.74,40.92,76.71,42.88,55.27,43.44
32.0,5e-05,0.0001,0.0001,0.001,0.01,0.001,0.01,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.1,0.1,3.0,79.65,65.65,42.45,79.45,42.23,59.05,43.41
16.0,5e-05,0.0001,0.005,0.0001,0.01,0.01,0.001,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.1,3.0,77.68,62.8,43.98,77.39,42.41,56.68,43.56
32.0,5e-05,0.0001,0.0001,0.0001,0.01,0.01,0.01,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.0,0.0,3.0,77.9,66.74,44.2,78.12,41.64,58.94,42.67
16.0,5e-05,0.0001,0.0001,0.0001,0.01,0.001,0.0,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.1,0.0,3.0,75.27,63.02,42.01,75.71,44.44,54.67,44.15
16.0,5e-05,0.001,0.001,0.001,0.01,0.01,0.0,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.1,0.1,0.1,3.0,77.46,66.08,42.01,77.8,41.66,59.05,41.76
16.0,5e-05,0.005,0.005,0.001,0.01,0.01,0.01,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.1,3.0,80.31,64.55,42.01,79.85,43.23,58.14,43.78
16.0,5e-05,0.0001,0.001,0.001,0.001,0.001,0.001,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.1,0.0,3.0,76.59,63.68,42.89,76.19,42.75,57.52,42.42
16.0,5e-05,0.001,0.001,0.001,0.001,0.01,0.01,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.0,0.0,3.0,78.34,67.4,44.64,78.36,41.33,59.02,41.07
32.0,5e-05,0.0001,0.005,0.001,0.01,0.001,0.01,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.0,0.0,3.0,78.77,65.21,41.58,78.84,42.22,57.58,42.03
16.0,5e-05,0.0001,0.001,0.001,0.001,0.01,0.001,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.1,0.1,3.0,76.15,63.89,40.26,76.35,44.96,54.62,44.66
16.0,5e-05,0.005,0.005,0.001,0.001,0.001,0.01,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.1,0.1,3.0,78.77,64.55,43.76,78.8,41.88,60.48,41.61
16.0,5e-05,0.005,0.005,0.0001,0.01,0.001,0.0,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.0,0.1,3.0,78.12,66.08,41.79,77.83,45.49,55.4,45.4
32.0,5e-05,0.0001,0.001,0.001,0.001,0.01,0.0,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.0,0.0,3.0,81.18,65.86,41.58,80.89,42.02,58.49,42.65
32.0,5e-05,0.005,0.0001,0.001,0.01,0.01,0.0,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.1,3.0,78.99,63.02,37.64,78.82,42.88,59.41,42.75
