Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
self_mm,"(82.22, 0.54)","(82.2, 0.51)","(83.99, 0.62)","(83.96, 0.59)","(52.04, 1.33)","(46.36, 1.24)","(76.08, 1.46)","(79.1, 0.49)","(76.97, 1.92)"
self_mm,"(83.53, 0.53)","(83.47, 0.54)","(85.52, 0.69)","(85.52, 0.69)","(54.81, 1.29)","(47.52, 0.68)","(73.01, 0.73)","(79.67, 0.66)","(72.63, 0.83)"
self_mm,"(82.22, 0.54)","(82.2, 0.51)","(83.99, 0.62)","(83.96, 0.59)","(52.04, 1.33)","(46.36, 1.24)","(76.08, 1.46)","(79.1, 0.49)","(76.97, 1.92)"
self_mm,"(82.22, 2.08)","(82.13, 2.05)","(84.15, 2.27)","(84.12, 2.22)","(51.46, 6.14)","(44.9, 4.46)","(95.23, 9.14)","(77.6, 5.64)","(96.13, 9.35)"
self_mm,"(81.63, 0.92)","(81.66, 1.01)","(83.23, 0.55)","(83.25, 0.59)","(49.85, 7.88)","(44.46, 5.66)","(97.53, 6.81)","(74.43, 3.85)","(96.8, 6.7)"
self_mm,"(83.53, 0.22)","(83.5, 0.23)","(85.21, 0.23)","(85.24, 0.24)","(54.08, 0.49)","(47.38, 0.62)","(73.1, 0.88)","(79.45, 0.38)","(72.95, 0.91)"
self_mm,"(81.92, 0.57)","(81.88, 0.64)","(83.99, 0.57)","(83.86, 0.57)","(52.04, 8.07)","(45.04, 5.56)","(99.62, 8.93)","(77.89, 3.51)","(99.34, 8.8)"
self_mm,"(81.49, 2.13)","(81.27, 1.99)","(84.15, 2.36)","(83.69, 2.21)","(48.54, 6.48)","(43.0, 4.53)","(97.7, 5.83)","(71.93, 3.16)","(97.33, 5.66)"
